DOI,Citations
https://doi.org/10.1109/SC41404.2022.00031,5
https://doi.org/10.1109/SC41404.2022.00051,229
https://doi.org/10.1109/SC41404.2022.00046,9
https://doi.org/10.1109/SC41404.2022.00012,24
https://doi.org/10.1109/SC41404.2022.00014,16
https://doi.org/10.1109/SC41404.2022.00034,6
https://doi.org/10.1109/SC41404.2022.00078,16
https://doi.org/10.1109/SC41404.2022.00048,9
https://doi.org/10.1109/SC41404.2022.00092,1
https://doi.org/10.1109/SC41404.2022.00085,4
https://doi.org/10.1109/SC41404.2022.00007,23
https://doi.org/10.1109/SC41404.2022.00055,10
https://doi.org/10.1109/SC41404.2022.00050,15
https://doi.org/10.1109/SC41404.2022.00089,5
https://doi.org/10.1109/SC41404.2022.00060,1
https://doi.org/10.1109/SC41404.2022.00037,3
https://doi.org/10.1109/SC41404.2022.00029,11
https://doi.org/10.1109/SC41404.2022.00071,39
https://doi.org/10.1109/SC41404.2022.00008,90
https://doi.org/10.1109/SC41404.2022.00032,4
https://doi.org/10.1109/SC41404.2022.00080,3
https://doi.org/10.1109/SC41404.2022.00047,18
https://doi.org/10.1109/SC41404.2022.00074,7
https://doi.org/10.1109/SC41404.2022.00040,6
https://doi.org/10.1109/SC41404.2022.00015,5
https://doi.org/10.1109/SC41404.2022.00077,9
https://doi.org/10.1109/SC41404.2022.00016,15
https://doi.org/10.1109/SC41404.2022.00010,20
https://doi.org/10.1109/SC41404.2022.00033,4
https://doi.org/10.1109/SC41404.2022.00022,14
https://doi.org/10.1109/SC41404.2022.00009,1
https://doi.org/10.1109/SC41404.2022.00021,4
https://doi.org/10.1109/SC41404.2022.00035,17
https://doi.org/10.1109/SC41404.2022.00068,1
https://doi.org/10.1109/SC41404.2022.00057,12
https://doi.org/10.1109/SC41404.2022.00066,15
https://doi.org/10.1109/SC41404.2022.00025,7
https://doi.org/10.1109/SC41404.2022.00011,0
https://doi.org/10.1109/SC41404.2022.00049,6
https://doi.org/10.1109/SC41404.2022.00038,10
https://doi.org/10.1109/SC41404.2022.00017,17
https://doi.org/10.1109/SC41404.2022.00056,6
https://doi.org/10.1109/SC41404.2022.00091,2
https://doi.org/10.1109/SC41404.2022.00090,6
https://doi.org/10.1109/SC41404.2022.00042,25
https://doi.org/10.1109/SC41404.2022.00081,16
https://doi.org/10.1109/SC41404.2022.00067,29
https://doi.org/10.1109/SC41404.2022.00028,7
https://doi.org/10.1109/SC41404.2022.00083,8
https://doi.org/10.1109/SC41404.2022.00088,7
https://doi.org/10.1109/SC41404.2022.00062,1
https://doi.org/10.1109/SC41404.2022.00079,9
https://doi.org/10.1109/SC41404.2022.00065,24
https://doi.org/10.1109/SC41404.2022.00052,1
https://doi.org/10.1109/SC41404.2022.00036,6
https://doi.org/10.1109/SC41404.2022.00084,7
https://doi.org/10.1109/SC41404.2022.00072,5
https://doi.org/10.1109/SC41404.2022.00020,4
https://doi.org/10.1109/SC41404.2022.00073,2
https://doi.org/10.1109/SC41404.2022.00045,9
https://doi.org/10.1109/SC41404.2022.00061,6
https://doi.org/10.1109/SC41404.2022.00026,6
https://doi.org/10.1109/SC41404.2022.00027,31
https://doi.org/10.1109/SC41404.2022.00069,3
https://doi.org/10.1109/SC41404.2022.00063,10
https://doi.org/10.1109/SC41404.2022.00006,7
https://doi.org/10.1109/SC41404.2022.00019,27
https://doi.org/10.1109/SC41404.2022.00070,25
https://doi.org/10.1109/SC41404.2022.00044,11
https://doi.org/10.1109/SC41404.2022.00076,16
https://doi.org/10.1109/SC41404.2022.00024,6
https://doi.org/10.1109/SC41404.2022.00013,3
https://doi.org/10.1109/SC41404.2022.00075,15
https://doi.org/10.1109/SC41404.2022.00043,23
https://doi.org/10.1109/SC41404.2022.00058,20
https://doi.org/10.1109/SC41404.2022.00018,5
https://doi.org/10.1109/SC41404.2022.00087,4
https://doi.org/10.1109/SC41404.2022.00064,7
https://doi.org/10.1109/SC41404.2022.00059,11
https://doi.org/10.1109/SC41404.2022.00041,21
https://doi.org/10.1109/SC41404.2022.00039,3
https://doi.org/10.1109/SC41404.2022.00082,4
https://doi.org/10.1109/SC41404.2022.00023,5
https://doi.org/10.1109/SC41404.2022.00086,15
https://doi.org/10.1109/SC41404.2022.00054,10
https://doi.org/10.1109/SC41404.2022.00053,13
https://doi.org/10.1109/SC41404.2022.00030,2
https://doi.org/10.1109/SC41404.2022,60
