DOI,Citations
https://doi.org/10.1109/SC41404.2022.00031,4
https://doi.org/10.1109/SC41404.2022.00051,53
https://doi.org/10.1109/SC41404.2022.00046,3
https://doi.org/10.1109/SC41404.2022.00012,7
https://doi.org/10.1109/SC41404.2022.00014,5
https://doi.org/10.1109/SC41404.2022.00034,3
https://doi.org/10.1109/SC41404.2022.00078,6
https://doi.org/10.1109/SC41404.2022.00048,2
https://doi.org/10.1109/SC41404.2022.00092,0
https://doi.org/10.1109/SC41404.2022.00085,1
https://doi.org/10.1109/SC41404.2022.00007,8
https://doi.org/10.1109/SC41404.2022.00055,3
https://doi.org/10.1109/SC41404.2022.00050,7
https://doi.org/10.1109/SC41404.2022.00089,1
https://doi.org/10.1109/SC41404.2022.00060,0
https://doi.org/10.1109/SC41404.2022.00037,0
https://doi.org/10.1109/SC41404.2022.00029,3
https://doi.org/10.1109/SC41404.2022.00071,12
https://doi.org/10.1109/SC41404.2022.00008,27
https://doi.org/10.1109/SC41404.2022.00032,2
https://doi.org/10.1109/SC41404.2022.00080,1
https://doi.org/10.1109/SC41404.2022.00047,5
https://doi.org/10.1109/SC41404.2022.00074,3
https://doi.org/10.1109/SC41404.2022.00040,2
https://doi.org/10.1109/SC41404.2022.00015,2
https://doi.org/10.1109/SC41404.2022.00077,2
https://doi.org/10.1109/SC41404.2022.00016,3
https://doi.org/10.1109/SC41404.2022.00010,5
https://doi.org/10.1109/SC41404.2022.00033,1
https://doi.org/10.1109/SC41404.2022.00022,5
https://doi.org/10.1109/SC41404.2022.00009,1
https://doi.org/10.1109/SC41404.2022.00021,0
https://doi.org/10.1109/SC41404.2022.00035,3
https://doi.org/10.1109/SC41404.2022.00068,1
https://doi.org/10.1109/SC41404.2022.00057,3
https://doi.org/10.1109/SC41404.2022.00066,6
https://doi.org/10.1109/SC41404.2022.00025,3
https://doi.org/10.1109/SC41404.2022.00011,0
https://doi.org/10.1109/SC41404.2022.00049,0
https://doi.org/10.1109/SC41404.2022.00038,4
https://doi.org/10.1109/SC41404.2022.00017,4
https://doi.org/10.1109/SC41404.2022.00056,1
https://doi.org/10.1109/SC41404.2022.00091,0
https://doi.org/10.1109/SC41404.2022.00090,0
https://doi.org/10.1109/SC41404.2022.00042,5
https://doi.org/10.1109/SC41404.2022.00081,2
https://doi.org/10.1109/SC41404.2022.00067,11
https://doi.org/10.1109/SC41404.2022.00028,2
https://doi.org/10.1109/SC41404.2022.00083,4
https://doi.org/10.1109/SC41404.2022.00088,3
https://doi.org/10.1109/SC41404.2022.00062,0
https://doi.org/10.1109/SC41404.2022.00079,5
https://doi.org/10.1109/SC41404.2022.00065,7
https://doi.org/10.1109/SC41404.2022.00052,1
https://doi.org/10.1109/SC41404.2022.00036,3
https://doi.org/10.1109/SC41404.2022.00084,3
https://doi.org/10.1109/SC41404.2022.00072,1
https://doi.org/10.1109/SC41404.2022.00020,3
https://doi.org/10.1109/SC41404.2022.00073,1
https://doi.org/10.1109/SC41404.2022.00045,1
https://doi.org/10.1109/SC41404.2022.00061,3
https://doi.org/10.1109/SC41404.2022.00026,3
https://doi.org/10.1109/SC41404.2022.00027,10
https://doi.org/10.1109/SC41404.2022.00069,0
https://doi.org/10.1109/SC41404.2022.00063,4
https://doi.org/10.1109/SC41404.2022.00006,4
https://doi.org/10.1109/SC41404.2022.00019,12
https://doi.org/10.1109/SC41404.2022.00070,7
https://doi.org/10.1109/SC41404.2022.00044,3
https://doi.org/10.1109/SC41404.2022.00076,4
https://doi.org/10.1109/SC41404.2022.00024,3
https://doi.org/10.1109/SC41404.2022.00013,0
https://doi.org/10.1109/SC41404.2022.00075,6
https://doi.org/10.1109/SC41404.2022.00043,13
https://doi.org/10.1109/SC41404.2022.00058,7
https://doi.org/10.1109/SC41404.2022.00018,1
https://doi.org/10.1109/SC41404.2022.00087,1
https://doi.org/10.1109/SC41404.2022.00064,2
https://doi.org/10.1109/SC41404.2022.00059,3
https://doi.org/10.1109/SC41404.2022.00041,15
https://doi.org/10.1109/SC41404.2022.00039,2
https://doi.org/10.1109/SC41404.2022.00082,1
https://doi.org/10.1109/SC41404.2022.00023,3
https://doi.org/10.1109/SC41404.2022.00086,4
https://doi.org/10.1109/SC41404.2022.00054,2
https://doi.org/10.1109/SC41404.2022.00053,6
https://doi.org/10.1109/SC41404.2022.00030,2
https://doi.org/10.1109/SC41404.2022,33
