DOI,Citations
http://dl.acm.org/citation.cfm?id=3291706,10
http://dl.acm.org/citation.cfm?id=3291659,4
http://dl.acm.org/citation.cfm?id=3291727,2
http://dl.acm.org/citation.cfm?id=3291730,6
http://dl.acm.org/citation.cfm?id=3291662,2
http://dl.acm.org/citation.cfm?id=3291678,4
http://dl.acm.org/citation.cfm?id=3291703,2
http://dl.acm.org/citation.cfm?id=3291694,6
http://dl.acm.org/citation.cfm?id=3291716,13
http://dl.acm.org/citation.cfm?id=3291710,21
http://dl.acm.org/citation.cfm?id=3291747,9
http://dl.acm.org/citation.cfm?id=3291739,18
http://dl.acm.org/citation.cfm?id=3291712,14
http://dl.acm.org/citation.cfm?id=3291696,38
http://dl.acm.org/citation.cfm?id=3291668,24
http://dl.acm.org/citation.cfm?id=3291704,7
http://dl.acm.org/citation.cfm?id=3291672,45
http://dl.acm.org/citation.cfm?id=3291664,1
http://dl.acm.org/citation.cfm?id=3291683,3
http://dl.acm.org/citation.cfm?id=3291679,7
http://dl.acm.org/citation.cfm?id=3291686,14
http://dl.acm.org/citation.cfm?id=3291750,4
http://dl.acm.org/citation.cfm?id=3291744,63
http://dl.acm.org/citation.cfm?id=3291670,19
http://dl.acm.org/citation.cfm?id=3291753,4
http://dl.acm.org/citation.cfm?id=3291738,24
http://dl.acm.org/citation.cfm?id=3291667,18
http://dl.acm.org/citation.cfm?id=3291719,110
http://dl.acm.org/citation.cfm?id=3291675,38
http://dl.acm.org/citation.cfm?id=3291711,5
http://dl.acm.org/citation.cfm?id=3291715,11
http://dl.acm.org/citation.cfm?id=3291722,34
http://dl.acm.org/citation.cfm?id=3291687,3
http://dl.acm.org/citation.cfm?id=3291695,13
http://dl.acm.org/citation.cfm?id=3291734,16
http://dl.acm.org/citation.cfm?id=3291732,26
http://dl.acm.org/citation.cfm?id=3291748,16
http://dl.acm.org/citation.cfm?id=3291735,4
http://dl.acm.org/citation.cfm?id=3291728,63
http://dl.acm.org/citation.cfm?id=3291708,7
http://dl.acm.org/citation.cfm?id=3291724,189
http://dl.acm.org/citation.cfm?id=3291702,11
http://dl.acm.org/citation.cfm?id=3291714,22
http://dl.acm.org/citation.cfm?id=3291682,61
http://dl.acm.org/citation.cfm?id=3291674,11
http://dl.acm.org/citation.cfm?id=3291731,37
http://dl.acm.org/citation.cfm?id=3291707,9
http://dl.acm.org/citation.cfm?id=3291755,35
http://dl.acm.org/citation.cfm?id=3291746,43
http://dl.acm.org/citation.cfm?id=3291688,4
http://dl.acm.org/citation.cfm?id=3291699,23
http://dl.acm.org/citation.cfm?id=3291690,4
http://dl.acm.org/citation.cfm?id=3291743,73
http://dl.acm.org/citation.cfm?id=3291680,16
http://dl.acm.org/citation.cfm?id=3291720,40
http://dl.acm.org/citation.cfm?id=3291671,16
http://dl.acm.org/citation.cfm?id=3291723,22
http://dl.acm.org/citation.cfm?id=3291700,12
http://dl.acm.org/citation.cfm?id=3291742,5
http://dl.acm.org/citation.cfm?id=3291691,16
http://dl.acm.org/citation.cfm?id=3291718,3
http://dl.acm.org/citation.cfm?id=3291684,15
http://dl.acm.org/citation.cfm?id=3291751,13
http://dl.acm.org/citation.cfm?id=3291692,17
http://dl.acm.org/citation.cfm?id=3291754,23
http://dl.acm.org/citation.cfm?id=3291726,88
http://dl.acm.org/citation.cfm?id=3291736,18
http://dl.acm.org/citation.cfm?id=3291698,30
http://dl.acm.org/citation.cfm?id=3291663,3
http://dl.acm.org/citation.cfm?id=3291740,5
http://dl.acm.org/citation.cfm?id=3291658,11
http://dl.acm.org/citation.cfm?id=3291676,9
http://dl.acm.org/citation.cfm?id=3291660,20
http://dl.acm.org/citation.cfm?id=3291666,9
