DOI,CitationDOI,BadgeDOI,Citations,Available,Functional,Replicable,BadgeCategory,BadgeLevel
10.1109/sc41404.2022,https://doi.org/10.1109/SC41404.2022,,60,0,0,0,No badge,0
10.1109/sc41404.2022.00006,https://doi.org/10.1109/SC41404.2022.00006,https://doi.org/10.1109/SC41404.2022.00006,7,0,0,0,No badge,0
10.1109/sc41404.2022.00007,https://doi.org/10.1109/SC41404.2022.00007,https://doi.org/10.1109/SC41404.2022.00007,23,0,0,0,No badge,0
10.1109/sc41404.2022.00008,https://doi.org/10.1109/SC41404.2022.00008,https://doi.org/10.1109/SC41404.2022.00008,90,0,0,0,No badge,0
10.1109/sc41404.2022.00009,https://doi.org/10.1109/SC41404.2022.00009,https://doi.org/10.1109/SC41404.2022.00009,1,0,0,0,No badge,0
10.1109/sc41404.2022.00010,https://doi.org/10.1109/SC41404.2022.00010,https://doi.org/10.1109/SC41404.2022.00010,20,0,0,0,No badge,0
10.1109/sc41404.2022.00011,https://doi.org/10.1109/SC41404.2022.00011,https://doi.org/10.1109/SC41404.2022.00011,0,0,0,0,No badge,0
10.1109/sc41404.2022.00012,https://doi.org/10.1109/SC41404.2022.00012,https://doi.org/10.1109/SC41404.2022.00012,24,1,1,0,Functional only,2
10.1109/sc41404.2022.00013,https://doi.org/10.1109/SC41404.2022.00013,https://doi.org/10.1109/SC41404.2022.00013,3,1,0,0,Available only,1
10.1109/sc41404.2022.00014,https://doi.org/10.1109/SC41404.2022.00014,https://doi.org/10.1109/SC41404.2022.00014,16,0,0,0,No badge,0
10.1109/sc41404.2022.00015,https://doi.org/10.1109/SC41404.2022.00015,https://doi.org/10.1109/SC41404.2022.00015,5,1,1,1,Replicable,3
10.1109/sc41404.2022.00016,https://doi.org/10.1109/SC41404.2022.00016,https://doi.org/10.1109/SC41404.2022.00016,15,1,1,1,Replicable,3
10.1109/sc41404.2022.00017,https://doi.org/10.1109/SC41404.2022.00017,https://doi.org/10.1109/SC41404.2022.00017,17,1,1,0,Functional only,2
10.1109/sc41404.2022.00018,https://doi.org/10.1109/SC41404.2022.00018,https://doi.org/10.1109/SC41404.2022.00018,5,1,0,0,Available only,1
10.1109/sc41404.2022.00019,https://doi.org/10.1109/SC41404.2022.00019,https://doi.org/10.1109/SC41404.2022.00019,27,0,0,0,No badge,0
10.1109/sc41404.2022.00020,https://doi.org/10.1109/SC41404.2022.00020,https://doi.org/10.1109/SC41404.2022.00020,4,1,0,0,Available only,1
10.1109/sc41404.2022.00021,https://doi.org/10.1109/SC41404.2022.00021,https://doi.org/10.1109/SC41404.2022.00021,4,1,1,1,Replicable,3
10.1109/sc41404.2022.00022,https://doi.org/10.1109/SC41404.2022.00022,https://doi.org/10.1109/SC41404.2022.00022,14,1,1,1,Replicable,3
10.1109/sc41404.2022.00023,https://doi.org/10.1109/SC41404.2022.00023,https://doi.org/10.1109/SC41404.2022.00023,5,1,1,0,Functional only,2
10.1109/sc41404.2022.00024,https://doi.org/10.1109/SC41404.2022.00024,https://doi.org/10.1109/SC41404.2022.00024,6,0,0,0,No badge,0
10.1109/sc41404.2022.00025,https://doi.org/10.1109/SC41404.2022.00025,https://doi.org/10.1109/SC41404.2022.00025,7,1,1,1,Replicable,3
10.1109/sc41404.2022.00026,https://doi.org/10.1109/SC41404.2022.00026,https://doi.org/10.1109/SC41404.2022.00026,6,1,1,0,Functional only,2
10.1109/sc41404.2022.00027,https://doi.org/10.1109/SC41404.2022.00027,https://doi.org/10.1109/SC41404.2022.00027,31,1,0,0,Available only,1
10.1109/sc41404.2022.00028,https://doi.org/10.1109/SC41404.2022.00028,https://doi.org/10.1109/SC41404.2022.00028,7,1,0,0,Available only,1
