DOI,CitationDOI,BadgeDOI,Citations,Available,Functional,Replicable,BadgeCategory,BadgeLevel
10.1109/sc41404.2022,https://doi.org/10.1109/SC41404.2022,,0,0,0,0,No badge,0
10.1109/sc41404.2022.00006,https://doi.org/10.1109/SC41404.2022.00006,https://doi.org/10.1109/SC41404.2022.00006,0,0,0,0,No badge,0
10.1109/sc41404.2022.00007,https://doi.org/10.1109/SC41404.2022.00007,https://doi.org/10.1109/SC41404.2022.00007,2,0,0,0,No badge,0
10.1109/sc41404.2022.00008,https://doi.org/10.1109/SC41404.2022.00008,https://doi.org/10.1109/SC41404.2022.00008,13,0,0,0,No badge,0
10.1109/sc41404.2022.00009,https://doi.org/10.1109/SC41404.2022.00009,https://doi.org/10.1109/SC41404.2022.00009,1,0,0,0,No badge,0
10.1109/sc41404.2022.00010,https://doi.org/10.1109/SC41404.2022.00010,https://doi.org/10.1109/SC41404.2022.00010,0,0,0,0,No badge,0
10.1109/sc41404.2022.00011,https://doi.org/10.1109/SC41404.2022.00011,https://doi.org/10.1109/SC41404.2022.00011,0,0,0,0,No badge,0
10.1109/sc41404.2022.00012,https://doi.org/10.1109/SC41404.2022.00012,https://doi.org/10.1109/SC41404.2022.00012,2,1,1,0,Functional only,2
10.1109/sc41404.2022.00013,https://doi.org/10.1109/SC41404.2022.00013,https://doi.org/10.1109/SC41404.2022.00013,0,1,0,0,Available only,1
10.1109/sc41404.2022.00014,https://doi.org/10.1109/SC41404.2022.00014,https://doi.org/10.1109/SC41404.2022.00014,1,0,0,0,No badge,0
10.1109/sc41404.2022.00015,https://doi.org/10.1109/SC41404.2022.00015,https://doi.org/10.1109/SC41404.2022.00015,1,1,1,1,Replicable,3
10.1109/sc41404.2022.00016,https://doi.org/10.1109/SC41404.2022.00016,https://doi.org/10.1109/SC41404.2022.00016,1,1,1,1,Replicable,3
